,id,name,element_type,total_points,quality_score
100,580,Damsgaard,3,19,17.802893762545843
101,595,Zanka,2,23,25.29356585698804
102,688,Schade,3,12,6.441458896396252
103,101,Lallana,3,47,27.768774517697008
104,102,Steele,1,17,11.05311762558877
105,103,Welbeck,4,53,42.579039627278
106,104,Groß,3,108,105.12970562098519
107,106,Dunk,2,76,71.36523801685271
108,107,March,3,119,114.22402287624512
109,108,Webster,2,51,44.4777736241746
110,109,Veltman,2,81,58.09557534058144
111,113,Sánchez,1,81,75.15554577381849
112,114,Lamptey,2,23,13.65594533746533
113,116,Mac Allister,3,94,92.49447130729106
114,118,Mwepu,3,11,8.994999106385755
115,119,Sarmiento,3,16,8.661030188845613
116,120,Caicedo,3,54,73.32774684359818
117,123,Undav,4,12,6.367350212550892
118,124,Mitoma,3,96,75.2731634010281
119,125,Enciso,4,9,6.274468413826132
120,149,Gilmour,3,7,3.1068542071909517
121,544,Van Hecke,2,3,2.6181066717929147
122,559,Colwill,2,22,16.223117397376953
123,586,Estupiñán,2,79,58.637548646241996
124,596,Ferguson,4,36,30.50955861211463
125,651,Moran,3,1,0.05605699842634776
126,679,Buonanotte,3,6,3.493906792772932
127,48,Chukwuemeka,3,14,9.178815749296767
128,112,Cucurella,2,57,51.91022855061064
129,127,Azpilicueta,2,40,37.51571148478962
130,128,Thiago Silva,2,72,77.23742079853398
131,132,Kovacic,3,40,40.08446211644651
132,133,Arrizabalaga,1,88,72.18953628078509
133,134,Kanté,3,5,6.770386987629185
134,135,Ziyech,3,22,20.327091762006596
135,136,Loftus-Cheek,3,36,34.0591991082898
136,139,Chilwell,2,56,35.57794158309339
137,140,Pulisic,3,33,22.947968320147957
138,141,Chalobah,2,39,28.470908648566635
139,142,Mount,3,81,63.99595541498168
140,145,Havertz,4,88,88.19574499129914
141,146,James,2,34,36.603608980773046
142,147,Mendy,1,23,31.95211597232023
143,148,Gallagher,3,37,44.71656939183144
144,150,Broja,4,21,13.414572359115088
145,272,W.Fofana,2,23,25.563600030301373
146,304,Sterling,3,68,54.32562572623833
147,520,Koulibaly,2,62,60.92982000368595
148,616,Zakaria,3,11,8.03846404683388
149,617,Aubameyang,4,22,13.303841690566033
150,653,Hutchinson,3,1,0.31836891509056164
151,661,Hall,3,8,9.85741453924218
152,684,D.D.Fofana,4,2,2.3890655031947396
153,689,Badiashile,2,31,21.942439686273573
154,690,João Félix,4,22,22.11837637526977
155,699,Mudryk,3,11,7.985939595008432
156,708,Madueke,3,6,7.202799079257682
157,724,Enzo,3,23,29.068703490672434
158,18,Sambi,3,21,18.072498763844052
159,152,Guaita,1,97,101.3330719408774
160,153,Tomkins,2,7,13.199824523240615
161,154,McArthur,3,1,0.07651865972933806
162,156,Ward,2,43,43.59294794122089
163,157,Clyne,2,43,41.96302435087478
164,158,Milivojevic,3,18,11.552989634583563
165,159,J.Ayew,3,61,57.77682420054087
166,160,Zaha,3,85,83.62520300715322
167,161,Schlupp,3,67,57.91375084488595
168,163,Hughes,3,16,12.918197774954693
169,164,Riedewald,3,4,1.7364584741550775
170,165,Andersen,2,55,75.51675292798225
171,166,Edouard,4,56,55.710737966298886
172,167,Guéhi,2,60,81.51703028388374
173,168,Mateta,4,28,20.70562758433664
174,169,Eze,3,92,68.81032065877962
175,170,Mitchell,2,63,60.25775827217607
176,171,Olise,3,87,74.8332780327486
177,173,Ebiowei,3,3,0.7320798460054886
178,514,C.Doucouré,3,50,67.80172318388128
179,530,Richards,2,12,12.410849106576098
180,590,Whitworth,1,3,7.078638907659252
181,676,Ozoh,3,1,0.005096090766031614
182,725,Ahamada,3,6,1.758126213797142
183,110,Maupay,4,34,22.694499363600187
184,176,Begović,1,9,4.779112828906678
185,177,Rondón,4,7,2.3703317469760985
186,178,Coleman,2,60,46.31250210483131
187,180,Keane,2,13,13.2141807814501
188,181,Dele,3,2,0.36509153370825964
189,182,Pickford,1,87,110.0204075945303
190,185,A.Doucouré,3,46,35.862267245689786
191,186,Iwobi,3,93,92.89548698170574
192,188,Mina,2,13,11.26368696371102
193,189,Gray,3,78,74.07082606381628
194,190,Davies,3,16,10.271936367049587
195,191,Calvert-Lewin,4,25,17.21540279134807
196,192,Holgate,2,12,12.95548721884774
197,193,Godfrey,2,11,15.197290986999322
198,194,Mykolenko,2,62,70.44924601132546
199,197,Patterson,2,24,31.150458060317092
200,199,Tarkowski,2,82,115.23938675157925
201,475,Coady,2,70,63.951275263570324
202,531,Vinagre,2,2,1.0705425221087093
203,534,McNeil,3,71,68.17118186102613
204,570,Garner,3,5,4.14353408210177
205,577,Onana,3,64,55.690391378675
206,611,Gueye,3,49,53.80020819534845
207,662,Cannon,4,2,1.0494324765972165
208,678,Price,3,0,1.6344593605955815
209,686,Simms,4,11,6.978433445911735
210,1,Cédric,2,4,1.1655920600923624
211,2,Leno,1,103,111.25084746553314
212,105,Duffy,2,4,0.06899175546168518
213,200,Cairney,3,25,17.047834931457817
214,201,Ream,2,88,82.25229900200661
215,203,Chalobah,3,1,0.9862846258986226
216,204,Kebano,3,35,21.120709180710445
217,205,De Cordova-Reid,3,77,68.89728139156087
218,209,Tosin,2,31,42.17334111936674
219,210,Mitrović,4,90,97.12582907131386
220,211,Reed,3,72,59.96470198634898
221,212,Wilson,3,24,9.082544146917696
222,213,Rodák,1,7,5.206633016814432
223,215,Tete,2,64,71.8136104941758
224,216,Onomah,3,2,0.377883699074978
225,217,Robinson,2,71,68.83002418148675
226,219,Stansfield,4,7,2.312409657544438
227,220,Palhinha,3,66,81.66392218376029
228,231,James,3,26,17.018953664141932
229,346,Andreas,3,100,69.20539340562607
230,470,Diop,2,62,50.405290593970264
231,521,Francois,3,1,0.1583653049412993
232,532,Mbabu,2,7,6.18786682326635
233,546,Harris,3,3,0.14292243616547676
234,562,Solomon,3,32,30.22296394263075
235,613,Kurzawa,2,2,3.740803385617709
236,614,Willian,3,73,51.649999829800464
237,618,Vinícius,4,37,23.56308540927303
238,726,Lukic,3,5,3.825957767025611
239,249,Evans,2,12,28.135527094103878
240,251,Albrighton,3,13,13.522965025052827
241,252,Mendy,3,24,18.33209177757851
242,254,Ward,1,91,99.24759169405905
243,255,Vardy,4,56,42.22850762446507
244,256,Ricardo,2,10,11.751958307735974
245,257,Amartey,2,49,51.53738416752286
246,258,Castagne,2,83,80.88642488745346
247,259,Tielemans,3,67,76.07521875882496
248,260,Pérez,3,19,13.138146267227167
249,261,Maddison,3,105,105.70570514528785
250,262,Iheanacho,4,58,42.969497993659445
251,264,Barnes,3,102,87.0842280353647
252,265,Ndidi,3,25,38.60375658458402
253,266,Dewsbury-Hall,3,75,70.66926251428511
254,267,Söyüncü,2,2,2.456517526065191
255,268,Justin,2,45,38.0222622885936
256,269,Soumaré,3,28,26.859392339143582
257,270,Thomas,2,17,19.215495783151596
258,271,Daka,4,55,48.51846503248481
259,273,Brunt,2,1,0.5021543036151701
260,548,Iversen,1,2,2.3980527045865117
261,549,Praet,3,28,16.621528504176275
262,612,Faes,2,44,62.421425708303744
263,709,Kristiansen,2,6,12.996282249234872
264,715,Tetê,3,19,13.132624632156183
265,727,Souttar,2,11,24.293224839958352
266,221,Cooper,2,30,38.08916835011215
267,222,Ayling,2,45,46.86885205767765
268,223,Klich,3,12,8.08734232588749
269,224,Forshaw,3,6,3.094028372129947
270,225,Rodrigo,3,99,87.42996631130386
271,227,Bamford,4,45,36.832459053624746
272,228,Llorente,2,16,17.97905837661751
273,230,Koch,2,50,71.80263247182802
274,233,Harrison,3,94,76.72799489878756
275,235,Struijk,2,63,66.63016584185272
276,237,Greenwood,4,27,22.003712402090454
277,238,Meslier,1,83,101.66206550295124
278,239,Firpo,2,23,27.558833778885493
279,240,Summerville,3,65,50.22827228030879
280,242,Gelhardt,4,20,10.057450511972139
281,244,Kristensen,2,35,45.7310164395297
282,245,Roca,3,48,59.46863791036772
283,246,Aaronson,3,66,50.745258299557136
284,247,Gyabi,3,1,0.9749856980463916
285,506,Adams,3,47,71.63217900352863
286,508,Sinisterra,3,26,21.977173876322023
287,547,Drameh,2,1,2.1700980653216035
288,619,Gnonto,4,46,47.20258083265697
289,659,Mateo Joseph,4,3,0.7505288472176778
290,691,Wöber,2,23,29.604623051248304
291,700,Rutter,4,8,6.849067460907257
292,720,McKennie,3,11,14.50958440500628
293,274,Milner,3,31,28.14243573061162
294,275,Henderson,3,40,37.138704260948444
295,276,Matip,2,21,26.008361482975694
296,277,Thiago,3,26,41.418960779400344
297,278,Chamberlain,3,19,12.918731749996766
298,279,Firmino,4,82,84.47776621668883
299,280,Van Dijk,2,96,75.5479496690694
300,281,Alisson,1,119,105.35624249576321
301,282,Fabinho,3,43,44.69790527069853
302,283,Salah,3,154,126.88997342990251
303,284,Robertson,2,91,69.60516386112818
304,285,Alexander-Arnold,2,96,80.59065356123998
305,286,Gomez,2,62,44.312623461276885
306,287,Keita,3,10,5.840980624365619
307,288,Diogo Jota,4,19,18.018592825906975
308,290,Konaté,2,22,21.24075052268917
309,291,Jones,3,7,6.274784084293665
310,292,Tsimikas,2,35,25.924775064122606
311,293,Luis Díaz,3,39,33.61111513578041
312,294,Elliott,3,55,48.09136615050144
313,296,Carvalho,3,26,17.660353959630964
314,297,Darwin,4,81,78.36408288010826
315,501,Phillips,2,3,2.38885575917746
316,564,Bajcetic,3,22,17.505457819287365
317,584,Clark,3,1,0.06216548739352054
318,665,Doak,3,2,1.0285033910628245
319,680,Gakpo,3,41,31.26017969908046
320,299,Walker,2,40,30.87549544926612
321,300,Gündogan,3,84,68.7405550314762
322,301,De Bruyne,3,129,116.47796768044734
323,302,Stones,2,63,41.7530227966557
324,303,Mahrez,3,83,62.3633568051178
325,305,Grealish,3,81,64.33276478923305
326,306,Cancelo,2,73,47.27009296313746
327,307,Ederson,1,98,80.87294745199033
328,308,Aké,2,64,49.84748849774144
329,309,Laporte,2,21,17.479583391954765
330,311,Bernardo,3,94,80.93270236569865
331,312,Dias,2,59,46.76383347968755
332,314,Foden,3,109,99.85913838003236
333,315,Rodri,3,88,109.66670044180734
334,316,Palmer,3,8,4.468037634757879
335,318,Haaland,4,203,188.78234748715025
336,319,Álvarez,4,57,45.00572057042351
337,325,Phillips,3,4,2.9927681411987637
338,573,Lewis,2,17,15.791583091911491
339,587,Sergio Gómez,2,8,7.292678941895156
340,610,Akanji,2,63,50.35234333602295
341,712,Perrone,3,1,0.2979845520264352
342,326,Ronaldo,4,20,16.063156278949908
343,327,De Gea,1,104,93.95999610763772
344,329,Varane,2,54,50.16315159257509
345,330,Maguire,2,24,20.011580290863755
346,331,Fred,3,45,44.83236270164257
347,332,Shaw,2,94,70.38504221872145
348,333,Fernandes,3,119,121.27430423209444
349,335,Rashford,3,156,128.78056218729316
350,336,Van de Beek,3,8,3.2574889077051985
351,337,Lindelöf,2,21,18.005518445984908
352,338,McTominay,3,20,30.305439760436553
353,340,Sancho,3,58,44.58309103480975
354,341,Wan-Bissaka,2,37,24.982893347972045
355,342,Dalot,2,67,59.85730961489469
356,344,Elanga,3,23,12.302407816155622
357,345,Martial,4,32,29.31237066559691
358,347,Pellistri,3,2,0.6033115186215479
359,504,Malacia,2,43,25.879133091520757
360,519,Eriksen,3,74,59.84096995888015
361,533,Martínez,2,63,73.79025510775487
362,569,Garnacho,3,30,22.74455595680185
363,593,Casemiro,3,56,72.6280177443722
364,609,Antony,3,44,39.3110020330401
365,643,Mainoo,3,1,1.0194009059707663
366,701,Weghorst,4,15,17.379089430790692
367,728,Sabitzer,3,9,9.686643151662548
368,195,Gordon,3,47,48.78719926911892
369,350,Ritchie,2,5,1.4793385352619621
370,355,Dubravka,1,8,3.7509993057830755
371,356,Wilson,4,74,62.47149652370392
372,357,Trippier,2,154,108.9010455588807
373,358,Burn,2,95,65.93474061558669
374,359,Fraser,3,11,6.604460716930385
375,360,Lascelles,2,1,6.325623265769611
376,363,Manquillo,2,1,0.3633119752370873
377,364,Krafth,2,1,0.012260156135664753
378,365,Murphy,3,43,26.561685162774168
379,366,Schär,2,106,73.95741891680741
380,367,Targett,2,24,14.379777224463249
381,368,Saint-Maximin,3,49,36.09123756582986
382,369,Almirón,3,136,103.56572262512455
383,370,S.Longstaff,3,75,64.2806135481246
384,371,Joelinton,3,64,73.02801524874285
385,372,Lewis,2,1,0.20429654139834033
386,373,Willock,3,87,72.35107840595731
387,374,Bruno Guimarães,3,71,69.31840571759452
388,376,Pope,1,111,83.6126201530738
389,377,Botman,2,94,65.10128506952582
390,552,Anderson,3,12,8.787617833151426
391,594,Isak,4,52,48.93763834417404
392,295,N.Williams,2,43,45.38057862712268
393,349,Shelvey,3,14,10.142454488703835
394,354,Wood,4,53,32.12360841096651
395,379,Cook,2,20,29.985436989012992
396,381,Colback,3,14,12.036681046587796
397,383,Cafú,3,1,0.3984226586168321
398,385,McKenna,2,38,45.860535650755935
399,387,Yates,3,44,39.652247136925396
400,388,Worrall,2,44,58.033278069345684
401,391,Surridge,4,22,12.187636653381754
402,394,Johnson,4,95,87.85081816187925
403,395,Mighten,3,1,0.0356726353622213
404,397,Awoniyi,4,50,36.65962715947438
405,398,Henderson,1,82,71.77051238301053
406,399,Biancone,2,2,0.862240793281861
407,474,Boly,2,33,21.796985508228
408,493,Gibbs-White,3,91,73.05848804642699
409,507,Niakhaté,2,8,6.859568750225092
410,518,Hennessey,1,4,8.753591546836198
411,523,Toffolo,2,20,19.18273605076621
412,524,O'Brien,3,22,20.090543773595662
413,527,Lingard,3,32,14.105847612342178
414,536,Mangala,3,23,15.095233409155425
415,582,Freuler,3,46,44.617972144931414
416,583,Kouyaté,3,27,24.161969131368597
417,585,Dennis,4,29,25.85661391882266
418,602,Renan Lodi,2,37,43.36340693023685
419,628,Aurier,2,57,54.75843890935359
420,681,Scarpa,3,4,3.0155946153334607
421,703,Danilo,3,2,5.20717897970506
422,729,Navas,1,17,25.719449674382624
423,730,Felipe,2,8,24.454627262321317
424,734,A.Ayew,3,6,4.861189710030471
425,21,Maitland-Niles,3,27,36.482866604488024
426,321,Lavia,3,37,40.91905282929099
427,400,Walcott,3,24,17.53726321509299
428,402,Romeu,3,2,1.3538726966042982
429,403,Redmond,3,1,0.005096090766031614
430,405,S.Armstrong,3,37,27.47884692132436
431,406,Elyounoussi,3,45,44.692713498415145
432,407,Ward-Prowse,3,105,119.87682755294217
433,408,A.Armstrong,4,43,33.74296859965909
434,409,Walker-Peters,2,49,54.331390548194875
435,410,Bednarek,2,27,32.0400876971292
436,411,Adams,4,90,74.33490675619956
437,413,Lyanco,2,15,21.76720884335679
438,414,Valery,2,0,0.962401230154569
439,416,Diallo,3,18,17.072059698539505
440,417,Perraud,2,67,53.8923862454064
441,418,Djenepo,3,20,21.038427762484094
442,420,Salisu,2,33,79.54449901237648
443,422,Bazunu,1,79,97.37672875513562
444,423,Bella-Kotchap,2,44,50.74801197675042
445,512,Aribo,3,42,41.6730764392983
446,528,Mara,4,25,16.01187217681913
447,622,Larios,2,4,4.701778280677684
448,623,Caleta-Car,2,19,25.35571387723595
449,624,Edozie,3,21,16.127807006613516
450,692,Orsic,3,1,0.33711497294672504
451,693,Alcaraz,3,22,18.522811365568113
452,716,Bree,2,4,7.482686882229735
453,731,Kamaldeen,3,15,11.289427589919125
454,732,Onuachu,4,8,5.92964002416947
455,425,Lloris,1,82,76.6164525810612
456,426,Forster,1,28,26.409136055220188
457,427,Kane,4,182,177.1485104968153
458,428,Son,3,102,95.52050280803556
459,429,Doherty,2,35,24.530170457863015
460,430,Dier,2,90,84.57757816859778
461,431,Lucas Moura,3,11,5.418168377514998
462,432,Davies,2,89,62.06345469721657
463,433,Højbjerg,3,99,109.94995679088598
464,435,Sánchez,2,22,20.57902942376437
465,436,R.Sessegnon,2,35,26.633880299885988
466,439,Tanganga,2,2,4.24312424408172
467,440,Bentancur,3,71,85.81599603971782
468,441,Skipp,3,24,21.270578772156455
469,443,Romero,2,51,55.94635681171222
470,444,Bissouma,3,23,20.00379567732933
471,445,Emerson Royal,2,76,52.88559425365075
472,446,Kulusevski,3,76,63.410930619175296
473,448,Perišić,2,79,61.89413717519483
474,449,White,3,1,0.3269227914146618
475,450,Sarr,3,7,4.598389024491064
476,454,Richarlison,4,40,30.999683620560564
477,513,Lenglet,2,42,46.67936063626472
478,522,Spence,2,4,0.13983612385773544
479,554,Bryan,3,9,5.761066865191292
480,713,Danjuma,3,1,0.9756722834779539
481,733,Pedro Porro,2,20,15.265367338681257
482,30,Ings,4,78,68.9044396268952
483,455,Fabianski,1,86,82.21530235119786
484,456,Ogbonna,2,24,18.52637290888802
485,457,Cresswell,2,43,57.064664652019204
486,458,Antonio,4,53,45.372773309863234
487,460,Lanzini,3,7,2.0136784244209625
488,461,Zouma,2,60,45.32097207026547
489,463,Coufal,2,35,44.031954905865526
490,464,Benrahma,3,72,70.48991016594985
491,465,Bowen,3,94,87.29071164987435
492,467,Rice,3,79,96.43152814142466
493,468,Soucek,3,61,74.21985714424143
494,469,Fornals,3,45,31.187936615899545
495,471,Johnson,2,26,24.830205728912834
496,472,Aguerd,2,21,29.707060388704637
497,473,Areola,1,7,11.917650022326988
498,509,Downes,3,17,6.153110186455377
499,529,Scamacca,4,41,34.49998804240149
500,545,Emerson,2,28,25.93295824939419
501,556,Coventry,3,1,0.005096090766031614
502,575,Cornet,3,6,2.0423938678108096
503,588,Kehrer,2,41,44.847997968543666
504,603,Paquetá,3,59,52.40709327349921
505,669,Mubama,4,1,0.03554981213510229
506,459,Dawson,2,45,48.51842116761881
507,476,Jiménez,4,26,20.3245118879267
508,477,Jonny,2,45,40.38006297433617
509,478,Sá,1,111,106.45759943616356
510,480,Neves,3,90,113.45049067485195
511,481,Hwang,3,33,19.83823661977294
512,482,Semedo,2,46,57.32515536510352
513,483,Podence,3,74,64.51227163674487
514,484,Kilman,2,80,88.97632963620387
515,486,Neto,3,21,17.822564200823564
516,487,Aït-Nouri,2,41,34.000069129149466
517,489,Toti,2,11,12.246867149708102
518,491,Adama,3,52,43.39525539780434
519,503,Moutinho,3,52,55.92557606828208
520,516,Collins,2,44,57.46771772409865
521,558,Bueno,2,32,33.9106318154981
522,566,Hodge,3,4,3.4025309184580244
523,567,Ronan,3,1,0.09705761927119222
524,568,Campbell,3,5,1.4167845877220424
525,579,Guedes,3,29,20.23877255727902
526,589,Matheus,3,52,47.28772185558465
527,608,Kalajdžić,4,1,0.5332471820265344
528,625,Diego Costa,4,15,12.106948527600649
529,629,Traoré,3,12,9.38616175361441
530,664,Lembikisa,2,1,0.41975609423481386
531,682,Cunha,4,18,15.354815231168214
532,698,Lemina,3,12,18.256789993570514
533,704,Sarabia,3,19,16.363812230288453
534,721,João Gomes,3,10,10.606620356932398
